id,text,language,intent,product,quantity,city,budget,urgency,priority_score,priority_label,split,template_id,source
LL01196,"माझी ट्रॅव्हल कंपनी मुंबई मध्ये आहे, 50 बस मध्ये म्युझिक सिस्टीम बसवायचे आहे. किती सूट मिळेल? आजच बोलायचे आहे.",mr,bulk_order,म्युझिक सिस्टीम,50 बस,मुंबई,,1,90,High,train,mr-bulk_order-1,synthetic_template
LL00781,"नमस्ते, मुझे रूफ टॉप AC की कीमत जाननी है, बजट लगभग ₹2 लाख है।",hi,price_query,रूफ टॉप AC,,,₹2 लाख,0,45,Medium,val,hi-price_query-4,synthetic_template
LL00734,"नमस्ते, ठाणे में LED लाइट लगवाने का खर्च कितना आएगा?",hi,price_query,LED लाइट,,ठाणे,,0,40,Medium,train,hi-price_query-1,synthetic_template
LL00156,"Need bus AC for 120 seats, total budget 50 lakh. Please call me",en,bulk_order,bus AC,120 seats,,50 lakh,0,80,High,train,en-bulk_order-5,synthetic_template
LL00429,bus seats ki price list bhejo,hinglish,price_query,bus seats,,,,0,35,Low,train,hinglish-price_query-6,synthetic_template
LL00604,bhai sangli me meri bus ki delivery 10 din late hui aur koi phhone nahi utha raha call karna,hinglish,complaint,,,sangli,,0,25,Low,train,hinglish-complaint-4,synthetic_template
LL01513,"namaskar, tumhi ratnagiri madhe ceiling panel che kaam karta ka? dar sanga",mr_roman,price_query,ceiling panel,,ratnagiri,,0,40,Medium,train,mr_roman-price_query-5,synthetic_template
LL00878,"हेलो सर, इंदौर डिलीवरी के लिए 50 सीट में सीलिंग पैनल चाहिए, 3 हफ्ते में। धन्यवाद।",hi,bulk_order,सीलिंग पैनल,50 सीट,इंदौर,,0,75,High,train,hi-bulk_order-4,synthetic_template
LL00805,रूफ टॉप AC का प्राइस लिस्ट भेज दीजिए,hi,price_query,रूफ टॉप AC,,,,0,35,Low,test,hi-price_query-6,synthetic_template
LL00057,price list for led lights please required by next week. thanks,en,price_query,led lights,,,,1,50,Medium,train,en-price_query-5,synthetic_template
LL01114,"हॅलो सर, कृपया म्युझिक सिस्टीम चे कोटेशन पाठवा. बजेट 30000 रुपये आहे.",mr,price_query,म्युझिक सिस्टीम,,,30000 रुपये,0,45,Medium,test,mr-price_query-2,synthetic_template
LL00925,"मैंने पुशबैक सीट के पैसे दे दिए, लेकिन काम अभी तक अधूरा है।",hi,complaint,पुशबैक सीट,,,,0,25,Low,val,hi-complaint-1,synthetic_template
LL01085,CCTV कॅमेरा चा रेट काय आहे? धन्यवाद.,mr,price_query,CCTV कॅमेरा,,,,0,35,Low,train,mr-price_query-0,synthetic_template
LL00385,pease cctv camera ka quotation bhej do. buget rs 3 lakh hai jaldi reply karo,hinglish,price_query,cctv camera,,,rs 3 lakh,1,60,Medium,train,hinglish-price_query-2,synthetic_template
LL01142,"मला बॉडी पेंट ची किंमत जाणून घ्यायची आहे, बजेट साधारण 30000 रुपये. धन्यवाद",mr,price_query,बॉडी पेंट,,,30000 रुपये,0,45,Medium,train,mr-price_query-4,synthetic_template
LL01210,"20 बस चा बल्क ऑर्डर द्यायचा आहे, लगेज रॅक हवे. बजेट 1 कोटी. पुढच्या आठवड्यापर्यंत हवे.",mr,bulk_order,लगेज रॅक,20 बस,,1 कोटी,1,95,High,train,mr-bulk_order-2,synthetic_template
LL00111,I run a travel compaany in Thane and need full body paint for 40 sets. What disccount can you offer? Thanks.,en,bulk_order,full body paint,40 sets,Thane,,0,75,High,train,en-bulk_order-1,synthetic_template
LL01694,"hello sir, kolhapur madhe majhya bus chi delivery 10 divas ushira zali ani koni phone uchalat nahi lavkar have aahe call kara",mr_roman,complaint,,,kolhapur,,1,40,Medium,train,mr_roman-complaint-4,synthetic_template
LL00354,"grow your travel business with guaranteed leads. limited offer, contact us today",en,spam,,,,,0,0,Ignore,train,en-spam-10,synthetic_template
LL00322,"Dear sir, we are a suppllier of cheap LED lights from China. Reply for a catalogue.",en,spam,,,,,0,0,Ignore,val,en-spam-6,synthetic_template
LL01350,"वॉरंटीमध्ये LED लाईट बदलून हवे आहे, एका महिन्यात तुटले.",mr,complaint,LED लाईट,,,,0,25,Low,val,mr-complaint-5,synthetic_template
LL00518,"vasai delivery ke liye 50 pieces me sleeper berth chahiye, 3 weeks me aaj hi baat karni hai call karna",hinglish,bulk_order,sleeper berth,50 pieces,vasai,,1,90,High,train,hinglish-bulk_order-4,synthetic_template
LL00701,"bus bsuiness ke liye 10 lakh tak loan pao, koi documents nahi. abhi cllick karo",hinglish,spam,,,,,0,0,Ignore,train,hinglish-spam-7,synthetic_template
LL00169,"hey, ordering pvc flooring for 120 units in nanded, please confirm the wholesale rate. thank you",en,bulk_order,pvc flooring,120 units,nanded,,0,75,High,train,en-bulk_order-6,synthetic_template
LL00977,"वारंटी में म्यूजिक सिस्टम बदलवाना है, एक महीने में टूट गया।",hi,complaint,म्यूजिक सिस्टम,,,,0,25,Low,train,hi-complaint-5,synthetic_template
LL01766,sarva sadyanvar ekavar ek free. aajach dukanat ya call kara,mr_roman,spam,,,,,0,0,Ignore,train,mr_roman-spam-6,synthetic_template
LL01685,panvel madhe majhya bus chi delivery 10 divas ushira zali ani koni phone uchalat nahi,mr_roman,complaint,,,panvel,,0,25,Low,train,mr_roman-complaint-4,synthetic_template
LL00487,"bhai bulk order dena hai 50 sets ka, seat cover chahiye. budget 8 lakh",hinglish,bulk_order,seat cover,50 sets,,8 lakh,0,80,High,train,hinglish-bulk_order-2,synthetic_template
LL00441,sir vinyl branding kitne ka padega 1 bus me,hinglish,price_query,vinyl branding,1 bus,,,0,50,Medium,test,hinglish-price_query-7,synthetic_template
LL01060,"अपने बस बिज़नेस के लिए 3 लाख तक का लोन पाएं, कोई डॉक्यूमेंट नहीं। अभी क्लिक करें",hi,spam,,,,,0,0,Ignore,test,hi-spam-7,synthetic_template
LL01381,"हॅलो सर, घरबसल्या रोज 5000 कमवा. WhatsApp करा.",mr,spam,,,,,0,0,Ignore,train,mr-spam-3,synthetic_template
LL00710,"apne tavel business ke liye guaranteed leads pao. limited offer, aaj hi contact karo",hinglish,spam,,,,,0,0,Ignore,train,hinglish-spam-8,synthetic_template
LL00419,kya aap Navi Mumbai me ceiling panel ka kaam karte ho? rate batao call karna,hinglish,price_query,ceiling panel,,Navi Mumbai,,0,40,Medium,train,hinglish-price_query-5,synthetic_template
LL00242,Your team delayed my bus delivery in Ahmedabad by 10 days and nobody is answering my calls.,en,complaint,,,Ahmedabad,,0,25,Low,test,en-complaint-4,synthetic_template
LL00295,"Boost your Instagram followers by 1k. Cheap rates, DM now. Please call me.",en,spam,,,,,0,0,Ignore,train,en-spam-2,synthetic_template
LL01070,"हेलो सर, अपने ट्रैवल बिज़नेस के लिए गारंटीड लीड्स पाएं। सीमित ऑफर, आज ही संपर्क करें। कृपया कॉल करें।",hi,spam,,,,,0,0,Ignore,val,hi-spam-8,synthetic_template
LL01601,"Bhopal madhe delivery sathi 15 bus madhe CCTV camera have, 3 athavdyat dhanyavad",mr_roman,bulk_order,CCTV camera,15 bus,Bhopal,,0,75,High,test,mr_roman-bulk_order-4,synthetic_template
LL01517,"hello sir, tumhi Solapur madhe body paint che kaam karta ka? dar sanga",mr_roman,price_query,body paint,,Solapur,,0,40,Medium,train,mr_roman-price_query-5,synthetic_template
LL01248,"10 बसेस साठी पडदे चा घाऊक दर सांगा, एकूण बजेट ₹10 लाख आहे.",mr,bulk_order,पडदे,10 बसेस,,₹10 लाख,0,80,High,val,mr-bulk_order-5,synthetic_template
LL01474,please roof top AC che quotation pathva. budget 1.5 lakh rupaye aahe,mr_roman,price_query,roof top AC,,,1.5 lakh rupaye,0,45,Medium,train,mr_roman-price_query-2,synthetic_template
LL00024,how much would exterior paint cost for 1 bus in goa? thanks,en,price_query,exterior paint,1 bus,goa,,0,55,Medium,train,en-price_query-2,synthetic_template
LL01262,तुम्ही बसवलेले सीट कव्हर खराब झाले आहे. हे योग्य नाही. खूप अर्जंट आहे,mr,complaint,सीट कव्हर,,,,1,40,Medium,train,mr-complaint-0,synthetic_template
LL00869,"हमारे पास 40 बस हैं, सभी में म्यूजिक सिस्टम लगवाना है। कृपया कॉल करें। धन्यवाद।",hi,bulk_order,म्यूजिक सिस्टम,40 बस,,,0,70,High,test,hi-bulk_order-3,synthetic_template
LL01235,"सुरत मध्ये डिलिव्हरीसाठी 20 बसेस मध्ये बस रॅप हवे, 3 आठवड्यात. खूप अर्जंट आहे",mr,bulk_order,बस रॅप,20 बसेस,सुरत,,1,90,High,train,mr-bulk_order-4,synthetic_template
LL01503,"dada, mala roof top ac chi kimmat janun ghyaychi aahe, budget saadharan 40 hajar lavkar have aahe",mr_roman,price_query,roof top ac,,,40 hajar,1,60,Medium,train,mr_roman-price_query-4,synthetic_template
LL00464,hume 5 buses ke liye body paint chahiye. bulk me kya rate milega?,hinglish,bulk_order,body paint,5 buses,,,0,70,High,train,hinglish-bulk_order-0,synthetic_template
LL00187,The CCTV cameras you installed is already damaged. This is unacceptable,en,complaint,CCTV cameras,,,,0,25,Low,train,en-complaint-0,synthetic_template
LL01451,roof top ac cha rate kay aahe?,mr_roman,price_query,roof top ac,,,,0,35,Low,train,mr_roman-price_query-0,synthetic_template
LL00130,bulk order: 20 buses need interior led lighting. deelivery to nashik in 3 weeks. required by next week,en,bulk_order,interior led lighting,20 buses,nashik,,1,90,High,test,en-bulk_order-3,synthetic_template
LL00598,vinyl branding ek hafte me hi band ho gaya. mujhe refund chahiye agle hafte tak chahiye,hinglish,complaint,vinyl branding,,,,1,40,Medium,val,hinglish-complaint-3,synthetic_template
LL01323,"हॅलो सर, गोवा मध्ये माझ्या बसची डिलिव्हरी 10 दिवस उशिरा झाली आणि कोणी फोन उचलत नाही.",mr,complaint,,,गोवा,,0,25,Low,train,mr-complaint-4,synthetic_template
LL01272,तुम्ही बसवलेले सीट कव्हर खराब झाले आहे. हे योग्य नाही. धन्यवाद.,mr,complaint,सीट कव्हर,,,,0,25,Low,train,mr-complaint-0,synthetic_template
LL00739,"हेलो सर, रत्नागिरी में CCTV कैमरा लगवाने का खर्च कितना आएगा? बहुत ज़रूरी है।",hi,price_query,CCTV कैमरा,,रत्नागिरी,,1,55,Medium,train,hi-price_query-1,synthetic_template
LL01589,"amchyakade 300 sets aahet, sarvamadhe pushback seats basvaycha aahe. please call kara",mr_roman,bulk_order,pushback seats,300 sets,,,0,70,High,train,mr_roman-bulk_order-3,synthetic_template
LL00267,Warranty claim for music system. It broke after one month. Please reply asap.,en,complaint,music system,,,,1,40,Medium,train,en-complaint-6,synthetic_template
LL00877,"नांदेड़ डिलीवरी के लिए 15 बसों में बस रैप चाहिए, 3 हफ्ते में।",hi,bulk_order,बस रैप,15 बसों,नांदेड़,,0,75,High,train,hi-bulk_order-4,synthetic_template
LL00181,The exterior wrap you installed is already damaged. This is unacceptable.,en,complaint,exterior wrap,,,,0,25,Low,train,en-complaint-0,synthetic_template
LL01388,क्रिप्टोमध्ये गुंतवणूक करा आणि 7 दिवसांत पैसे दुप्पट करा.,mr,spam,,,,,0,0,Ignore,train,mr-spam-4,synthetic_template
LL01205,"10 बस चा बल्क ऑर्डर द्यायचा आहे, बस सीट हवे. बजेट ₹50 लाख.",mr,bulk_order,बस सीट,10 बस,,₹50 लाख,0,80,High,train,mr-bulk_order-2,synthetic_template
LL01259,"60 नग साठी पुशबॅक सीट चा घाऊक दर सांगा, एकूण बजेट 50 लाख आहे.",mr,bulk_order,पुशबॅक सीट,60 नग,,50 लाख,0,80,High,val,mr-bulk_order-5,synthetic_template
LL00555,jo sleeper berth aapne lagaya tha wo kharab ho gaya. ye theek nahi hai aaj hi baat karni hai,hinglish,complaint,sleeper berth,,,,1,40,Medium,train,hinglish-complaint-0,synthetic_template
LL01720,abhinandan! tumhi free iphone jinkla aahe. aatach caim kara thanks,mr_roman,spam,,,,,0,0,Ignore,val,mr_roman-spam-1,synthetic_template
LL01048,"हेलो सर, सारी साड़ियों पर एक के साथ एक फ्री। आज ही दुकान पर आएं।",hi,spam,,,,,0,0,Ignore,test,hi-spam-6,synthetic_template
LL00335,"Free crredit card offer, no annual fee. Apply now.",en,spam,,,,,0,0,Ignore,val,en-spam-7,synthetic_template
LL01029,क्रिप्टो में निवेश करें और 7 दिन में पैसा डबल करें।,hi,spam,,,,,0,0,Ignore,val,hi-spam-4,synthetic_template
LL01230,"आमच्याकडे 50 बसेस आहेत, सर्वांमध्ये सीलिंग पॅनल बसवायचे आहे. कृपया कॉल करा. आजच बोलायचे आहे.",mr,bulk_order,सीलिंग पॅनल,50 बसेस,,,1,85,High,test,mr-bulk_order-3,synthetic_template
LL00762,2 सीट के लिए सीट कवर की कीमत बताइए। बहुत ज़रूरी है। धन्यवाद।,hi,price_query,सीट कवर,2 सीट,,,1,65,Medium,train,hi-price_query-3,synthetic_template
LL00573,"hello sir pushback seats ki finishing bahut kharab hai, turant theek karo",hinglish,complaint,pushback seats,,,,0,25,Low,train,hinglish-complaint-2,synthetic_template
LL00945,"हेलो सर, पुशबैक सीट की फिनिशिंग बहुत खराब है, तुरंत ठीक करवाइए। आज ही बात करनी है।",hi,complaint,पुशबैक सीट,,,,1,40,Medium,test,hi-complaint-2,synthetic_template
LL01765,sarva sadyanvar ekkavar ek free. aajach dukanat ya,mr_roman,spam,,,,,0,0,Ignore,train,mr_roman-spam-6,synthetic_template
LL00973,बेंगलुरु में मेरी बस की डिलीवरी 10 दिन लेट हुई और कोई फोन नहीं उठा रहा।,hi,complaint,,,बेंगलुरु,,0,25,Low,train,hi-complaint-4,synthetic_template
LL01119,कृपया रूफ टॉप AC चे कोटेशन पाठवा. बजेट 1.5 लाख आहे. खूप अर्जंट आहे.,mr,price_query,रूफ टॉप AC,,,1.5 लाख,1,60,Medium,test,mr-price_query-2,synthetic_template
LL00644,congratulations! aapne free iPhone jeta hai. abhi claim karo,hinglish,spam,,,,,0,0,Ignore,train,hinglish-spam-1,synthetic_template
LL01065,"नमस्ते, अपने ट्रैवल बिज़नेस के लिए गारंटीड लीड्स पाएं। सीमित ऑफर, आज ही संपर्क करें।",hi,spam,,,,,0,0,Ignore,val,hi-spam-8,synthetic_template
LL00097,We want to order seat covers for 250 units. Please share bulk pricing.,en,bulk_order,seat covers,250 units,,,0,70,High,train,en-bulk_order-0,synthetic_template
LL01591,"vasai madhe delivery sathi 250 nag madhe ceiling panel have, 3 athavdyat",mr_roman,bulk_order,ceiling panel,250 nag,vasai,,0,75,High,test,mr_roman-bulk_order-4,synthetic_template
LL00784,"मुझे LED लाइट की कीमत जाननी है, बजट लगभग 50000 रुपये है।",hi,price_query,LED लाइट,,,50000 रुपये,0,45,Medium,val,hi-price_query-4,synthetic_template
LL00975,नाशिक में मेरी बस की डिलीवरी 10 दिन लेट हुई और कोई फोन नहीं उठा रहा। अगले हफ्ते तक चाहिए।,hi,complaint,,,नाशिक,,1,40,Medium,train,hi-complaint-4,synthetic_template
LL01095,वसई मध्ये बॉडी पेंट बसवायला किती खर्च येईल?,mr,price_query,बॉडी पेंट,,वसई,,0,40,Medium,train,mr-price_query-1,synthetic_template
LL01450,ceiling panel cha rate kay aahe? dhanyavad,mr_roman,price_query,ceiling panel,,,,0,35,Low,train,mr_roman-price_query-0,synthetic_template
LL01724,abhinandan! tumhi free iPhone jinkla aahe. aatach claim kara dhanyavad,mr_roman,spam,,,,,0,0,Ignore,val,mr_roman-spam-1,synthetic_template
LL00720,"bhai free credit card offer, koi annual fee nahi. abhi apply karo",hinglish,spam,,,,,0,0,Ignore,test,hinglish-spam-9,synthetic_template
LL01660,"namaskar, bus wrap che finishing khup vait aahe, tatkal durust kara",mr_roman,complaint,bus wrap,,,,0,25,Low,test,mr_roman-complaint-2,synthetic_template
LL00112,I run a travel company in Thane and need exterior paint for 5 buses. What discount can you offer? Need this done this month.,en,bulk_order,exterior paint,5 buses,Thane,,1,90,High,train,en-bulk_order-1,synthetic_template
LL00060,"hey, price list for interior led lighting please",en,price_query,interior led lighting,,,,0,35,Low,train,en-price_query-5,synthetic_template
LL00278,get a personal loan up to 10 lakh in 15 minutes. click the link now!,en,spam,,,,,0,0,Ignore,train,en-spam-0,synthetic_template
LL01047,"नमस्ते, सारी साड़ियों पर एक के साथ एक फ्री। आज ही दुकान पर आएं।",hi,spam,,,,,0,0,Ignore,test,hi-spam-6,synthetic_template
LL00897,"हेलो सर, 30 बस के लिए CCTV कैमरा का थोक रेट बताइए, कुल बजट 5 लाख है। कृपया कॉल करें।",hi,bulk_order,CCTV कैमरा,30 बस,,5 लाख,0,80,High,train,hi-bulk_order-5,synthetic_template
LL00735,रत्नागिरी में बॉडी पेंट लगवाने का खर्च कितना आएगा?,hi,price_query,बॉडी पेंट,,रत्नागिरी,,0,40,Medium,train,hi-price_query-1,synthetic_template
LL00372,bhai bus seats ka rate kya hai? aaj hi baat karni hai,hinglish,price_query,bus seats,,,,1,50,Medium,train,hinglish-price_query-0,synthetic_template
LL01099,सुरत मध्ये लगेज रॅक बसवायला किती खर्च येईल? कृपया कॉल करा.,mr,price_query,लगेज रॅक,,सुरत,,0,40,Medium,train,mr-price_query-1,synthetic_template
LL00603,hyderabad me meri bus ki delivery 10 din late hui aur koi phone nahi utha raha urgent chahiye,hinglish,complaint,,,hyderabad,,1,40,Medium,train,hinglish-complaint-4,synthetic_template
LL00200,I paid for luggage racks but the work is still incomplete aftter 2 weeks.,en,complaint,luggage racks,,,,0,25,Low,train,en-complaint-1,synthetic_template
LL00850,"5 बसों का बल्क ऑर्डर देना है, LED लाइट चाहिए। बजट 25 लाख। कृपया कॉल करें।",hi,bulk_order,LED लाइट,5 बसों,,25 लाख,0,80,High,train,hi-bulk_order-2,synthetic_template
LL01197,"हॅलो सर, माझी ट्रॅव्हल कंपनी पनवेल मध्ये आहे, 150 सेट मध्ये पडदे बसवायचे आहे. किती सूट मिळेल? खूप अर्जंट आहे. कृपया कॉल करा.",mr,bulk_order,पडदे,150 सेट,पनवेल,,1,90,High,train,mr-bulk_order-1,synthetic_template
LL01182,आम्हाला 12 बस साठी LED लाईट हवे आहे. घाऊक दर काय असेल? लवकर हवे आहे. कृपया कॉल करा.,mr,bulk_order,LED लाईट,12 बस,,,1,85,High,train,mr-bulk_order-0,synthetic_template
LL00407,"mujhe flooring ki price janni hai, budget around Rs 2 lakh",hinglish,price_query,flooring,,,Rs 2 lakh,0,45,Medium,val,hinglish-price_query-4,synthetic_template
LL01180,आम्हाला 10 बस साठी फ्लोअरिंग हवे आहे. घाऊक दर काय असेल? पुढच्या आठवड्यापर्यंत हवे.,mr,bulk_order,फ्लोअरिंग,10 बस,,,1,85,High,train,mr-bulk_order-0,synthetic_template
LL01500,"dada, mala ceiling panel chi kimmat janun ghyaychi aahe, budget sadharan 2 lakh dhanyavad",mr_roman,price_query,ceiling panel,,,2 lakh,0,45,Medium,train,mr_roman-price_query-4,synthetic_template
LL01156,तुम्ही नागपूर मध्ये बस सीट चे काम करता का? दर सांगा. पुढच्या आठवड्यापर्यंत हवे. कृपया कॉल करा,mr,price_query,बस सीट,,नागपूर,,1,55,Medium,train,mr-price_query-5,synthetic_template
LL00493,"namaste bulk order dena hai 10 bus ka, body paint chahiye. budget 50l",hinglish,bulk_order,body paint,10 bus,,50l,0,80,High,train,hinglish-bulk_order-2,synthetic_template
